Jurisdiction
Jurisdiction
Jurisdiction,"1.  # of Lawyerswith ActiveLicense","2.  # of ComplaintsReceived byDisciplinary Agency","2a.  Central Intakeor ConsumerAssistance Program",,,
"",,,1.  # of Lawyers,2.  # of Complaints,2a.  Central Intake,2b.  # of Complaints Handled
"",Jurisdiction,with Active,Received by,or Consumer,Separately by Central Intake /,
"",,,License,Disciplinary Agency,Assistance Program,Consumer Assistance Program
"",,,,,,
"",,,"9,116",468,Yes,0
"",Mississippi,,,,,
"",Missouri,,"26,136","1,995",Yes,N/A
"",MontanaN,,"3,877",274,No,N/A
"",Nebraska,,"6,900",329,No,N/A
"",New Hampshire,,"5,500","23,235",No,N/A
"",New Jersey,,"75,526","3,600",No,N/A
"",New Mexico,,"6,900",644,No,N/A
"",New York: 1st Department,,"92,998","3,793",No,N/A
"",New York: 2nd Department/,,"18,346","1,611",No,N/A
"","2nd, 11th & 13th Districts",,,,,
"",New York: 2nd Department/,,"15,734",957,No,N/A
"",9th District,,,,,
"",New York: 2nd Department/,,"22,728","1,530",Yes,N/A
"",10th District,,,,,
New York: 3rd Department,"65,000","2,098",N/A,N/A,,
"",New York: 3rd Department,,,,,
"",New York: 4th Department/,,"14,588","1,660",No,N/A
"","5th, 7th & 8th Districts",,,,,
"",North Carolina,,"27,938","1,331",Yes,"7,087"
"",North Dakota,,"2,997",189,No,N/A
"",Ohio,,"44,157","4,122",N/A,N/A
"",Oklahoma,,"18,108","1,310",No,N/A
"",OregonN,,"15,178","2,043",Yes,N/A
"1.  # of Lawyerswith ActiveLicense"
1.  # of Lawyers
with Active
License
"2.  # of ComplaintsReceived byDisciplinary Agency"
2.  # of Complaints
Received by
Disciplinary Agency
"2a.  Central Intakeor ConsumerAssistance Program"
2a.  Central Intake
or Consumer
Assistance Program
New York: 3rd Department
New York: 3rd Department
