"",Jurisdiction,"1.  # of Lawyerswith ActiveLicense","2.  # of ComplaintsReceived byDisciplinary Agency","2a.  Central Intakeor ConsumerAssistance Program",,,
"",,,,1.  # of Lawyers,2.  # of Complaints,2a.  Central Intake,2b.  # of Complaints Handled
"",,Jurisdiction,with Active,Received by,or Consumer,Separately by Central Intake /,
"",,,,License,Disciplinary Agency,Assistance Program,Consumer Assistance Program
"",,,,,,,
"",,Alabama,,"13,754","1,149",Yes,0
"",,Alaska,,"3,087",178,No,N/A
"",,Arizona,,"18,555","3,569",Yes,N/A
"",,Arkansas,,"8,714",725,No,0
"",,Colorado,,"26,305","3,549",Yes,N/A
"",,Delaware,,"3,541",153,N/A,N/A
"",,District of Columbia,,"76,530",987,No,N/A
"",,Florida,,"86,977","6,666",Yes,N/A
"",,Georgia,,"38,560","3,105",Yes,"10,772"
"",,Hawai'i,,"4,858",336,No,N/A
"",,Idaho,,"5,099",373,N/A,N/A
"",,Illinois,,"69,572","5,401",Yes,N/A
"",,Indiana,,"18,590","1,437",N/A,N/A
"",,Iowa,,"9,600*",906,No,N/A
"",,Kansas,,"11,248",497,No,N/A
"",,Kentucky,,"18,447","1,142",Yes,N/A
"",,Louisiana,,"22,204","2,918",Yes,0
"",,Maine,,"5,319",240,Yes,67
"",,Maryland,,"39,814","1,815",No,N/A
"",,Michigan,,"41,857","2,393",Yes,N/A
"",,Minnesota,,"26,000","1,215",No,N/A
Jurisdiction
Jurisdiction
"1.  # of Lawyerswith ActiveLicense"
1.  # of Lawyers
with Active
License
"2.  # of ComplaintsReceived byDisciplinary Agency"
2.  # of Complaints
Received by
Disciplinary Agency
"2a.  Central Intakeor ConsumerAssistance Program"
2a.  Central Intake
or Consumer
Assistance Program
