,Jurisdiction,Takers,Passers,Pass_Rate
114,Alabama,757,398,0.5257595772787318
115,Alaska,105,64,0.6095238095238096
116,Arizona,988,505,0.5111336032388664
117,Arkansas,357,204,0.5714285714285714
118,California,12495,5032,0.40272108843537413
119,Colorado,1171,810,0.6917164816396243
120,Connecticut,555,372,0.6702702702702703
121,Delaware,198,130,0.6565656565656566
122,District of Columbia,1020,578,0.5666666666666667
123,Florida,4637,2515,0.5423765365538064
124,Georgia,1975,1228,0.6217721518987341
125,Hawaii,283,200,0.7067137809187279
126,Idaho,202,145,0.7178217821782178
127,Illinois,2891,1993,0.6893808370805949
128,Indiana,766,467,0.6096605744125326
129,Iowa,260,178,0.6846153846153846
130,Kansas,215,155,0.7209302325581395
131,Kentucky,564,394,0.6985815602836879
132,Louisiana,944,617,0.6536016949152542
133,Maine,189,129,0.6825396825396826
134,Maryland,1868,1115,0.5968950749464668
135,Massachusetts,2384,1550,0.6501677852348994
136,Michigan,1190,779,0.6546218487394958
137,Minnesota,872,618,0.7087155963302753
138,Mississippi,276,190,0.6884057971014492
139,Missouri,970,757,0.7804123711340206
140,Montana,159,117,0.7358490566037735
141,Nebraska,219,169,0.771689497716895
142,Nevada,514,265,0.5155642023346303
143,New Hampshire,278,189,0.6798561151079137
144,New Jersey,2069,1196,0.5780570323827936
145,New Mexico,281,185,0.6583629893238434
146,New York,14490,8275,0.5710835058661146
147,North Carolina,1827,943,0.5161466885604816
148,North Dakota,107,62,0.5794392523364486
149,Ohio,1416,942,0.6652542372881356
150,Oklahoma,446,305,0.6838565022421524
151,Oregon,713,416,0.5834502103786816
152,Pennsylvania,2200,1444,0.6563636363636364
153,Rhode Island,180,104,0.5777777777777777
154,South Carolina,644,404,0.6273291925465838
155,South Dakota,113,57,0.504424778761062
156,Tennessee,1094,644,0.5886654478976234
157,Texas,4408,2904,0.6588021778584392
158,Utah,447,318,0.7114093959731543
159,Vermont,96,62,0.6458333333333334
160,Virginia,1517,1038,0.6842452208305867
161,Washington,1124,748,0.6654804270462633
162,West Virginia,235,149,0.6340425531914894
163,Wisconsin,204,124,0.6078431372549019
164,Wyoming,82,57,0.6951219512195121
165,Guam,12,7,0.5833333333333334
166,N. Mariana Islands,3,3,1.0
167,Palau,22,0,0.0
168,Puerto Rico,1020,368,0.3607843137254902
169,Virgin Islands,40,23,0.575
170,Total for All Jurisdictions,74092,42641,0.5755142255574152
